"fmc","fmp","biomass","bbmsy","value","f","u","catch"
"NPFMC","Groundfish",0,0,"OFL",0,0,0
"NPFMC","Groundfish",0.01,0.02,"OFL",0,0,0
"NPFMC","Groundfish",0.02,0.04,"OFL",0,0,0
"NPFMC","Groundfish",0.03,0.06,"OFL",0.00110905805955607,0.00110844328196202,3.32532984588607e-05
"NPFMC","Groundfish",0.04,0.08,"OFL",0.0033271741786682,0.00332164526824308,0.000132865810729723
"NPFMC","Groundfish",0.05,0.1,"OFL",0.00554529029778033,0.00552994355602032,0.000276497177801016
"NPFMC","Groundfish",0.06,0.12,"OFL",0.00776340641689246,0.00773334901021228,0.000464000940612737
"NPFMC","Groundfish",0.07,0.14,"OFL",0.0099815225360046,0.00993187247166438,0.000695231073016507
"NPFMC","Groundfish",0.08,0.16,"OFL",0.0121996386551167,0.0121255247572025,0.000970041980576202
"NPFMC","Groundfish",0.09,0.18,"OFL",0.0144177547742289,0.0143143166596861,0.00128828849937175
"NPFMC","Groundfish",0.1,0.2,"OFL",0.016635870893341,0.0164982589480615,0.00164982589480615
"NPFMC","Groundfish",0.11,0.22,"OFL",0.0188539870124531,0.0186773623674142,0.00205450986041557
"NPFMC","Groundfish",0.12,0.24,"OFL",0.0210721031315653,0.0208516376390232,0.00250219651668278
"NPFMC","Groundfish",0.13,0.26,"OFL",0.0232902192506774,0.023021095460412,0.00299274240985356
"NPFMC","Groundfish",0.14,0.28,"OFL",0.0255083353697895,0.0251857465054023,0.00352600451075632
"NPFMC","Groundfish",0.15,0.3,"OFL",0.0277264514889017,0.0273456014241663,0.00410184021362495
"NPFMC","Groundfish",0.16,0.32,"OFL",0.0299445676080138,0.029500670843279,0.00472010733492464
"NPFMC","Groundfish",0.17,0.34,"OFL",0.0321626837271259,0.0316509653657708,0.00538066411218104
"NPFMC","Groundfish",0.18,0.36,"OFL",0.034380799846238,0.033796495571179,0.00608336920281223
"NPFMC","Groundfish",0.19,0.38,"OFL",0.0365989159653502,0.0359372720156006,0.00682808168296411
"NPFMC","Groundfish",0.2,0.4,"OFL",0.0388170320844623,0.0380733052317437,0.00761466104634874
"NPFMC","Groundfish",0.21,0.42,"OFL",0.0410351482035744,0.0402046057289794,0.00844296720308568
"NPFMC","Groundfish",0.22,0.44,"OFL",0.0432532643226866,0.0423311839933942,0.00931286047854672
"NPFMC","Groundfish",0.23,0.46,"OFL",0.0454713804417987,0.0444530504878404,0.0102242016122033
"NPFMC","Groundfish",0.24,0.48,"OFL",0.0476894965609108,0.0465702156519885,0.0111768517564772
"NPFMC","Groundfish",0.25,0.5,"OFL",0.049907612680023,0.0486826899023782,0.0121706724755946
"NPFMC","Groundfish",0.26,0.52,"OFL",0.0521257287991351,0.0507904836324696,0.0132055257444421
"NPFMC","Groundfish",0.27,0.54,"OFL",0.0543438449182473,0.0528936072126948,0.0142812739474276
"NPFMC","Groundfish",0.28,0.56,"OFL",0.0565619610373594,0.0549920709905081,0.0153977798773423
"NPFMC","Groundfish",0.29,0.58,"OFL",0.0587800771564715,0.0570858852904376,0.0165549067342269
"NPFMC","Groundfish",0.3,0.6,"OFL",0.0609981932755836,0.0591750604141359,0.0177525181242408
"NPFMC","Groundfish",0.31,0.62,"OFL",0.0632163093946958,0.0612596066404306,0.0189904780585335
"NPFMC","Groundfish",0.32,0.64,"OFL",0.0654344255138079,0.0633395342253747,0.0202686509521199
"NPFMC","Groundfish",0.33,0.66,"OFL",0.06765254163292,0.0654148534022976,0.0215869016227582
"NPFMC","Groundfish",0.34,0.68,"OFL",0.0698706577520322,0.067485574381855,0.0229450952898307
"NPFMC","Groundfish",0.35,0.7,"OFL",0.0720887738711443,0.0695517073520793,0.0243430975732277
"NPFMC","Groundfish",0.36,0.72,"OFL",0.0743068899902564,0.0716132624784296,0.0257807744922346
"NPFMC","Groundfish",0.37,0.74,"OFL",0.0765250061093686,0.0736702499038421,0.0272579924644216
"NPFMC","Groundfish",0.38,0.76,"OFL",0.0787431222284807,0.0757226797487794,0.0287746183045362
"NPFMC","Groundfish",0.39,0.78,"OFL",0.0809612383475928,0.077770562111281,0.0303305192233996
"NPFMC","Groundfish",0.4,0.8,"OFL",0.083179354466705,0.079813907067012,0.0319255628268048
"NPFMC","Groundfish",0.41,0.82,"OFL",0.0853974705858171,0.0818527246693138,0.0335596171144187
"NPFMC","Groundfish",0.42,0.84,"OFL",0.0876155867049292,0.083887024949253,0.0352325504786863
"NPFMC","Groundfish",0.43,0.86,"OFL",0.0898337028240414,0.0859168179156705,0.0369442317037383
"NPFMC","Groundfish",0.44,0.88,"OFL",0.0920518189431535,0.0879421135552313,0.0386945299643018
"NPFMC","Groundfish",0.45,0.9,"OFL",0.0942699350622656,0.0899629218324732,0.040483314824613
"NPFMC","Groundfish",0.46,0.92,"OFL",0.0964880511813778,0.0919792526898561,0.0423104562373338
"NPFMC","Groundfish",0.47,0.94,"OFL",0.0987061673004899,0.0939911160478106,0.044175824542471
"NPFMC","Groundfish",0.48,0.96,"OFL",0.100924283419602,0.0959985218047873,0.0460792904662979
"NPFMC","Groundfish",0.49,0.98,"OFL",0.103142399538714,0.0980014798373051,0.0480207251202795
"NPFMC","Groundfish",0.5,1,"OFL",0.105360515657826,0.1,0.05
"NPFMC","Groundfish",0.51,1.02,"OFL",0.105360515657826,0.1,0.051
"NPFMC","Groundfish",0.52,1.04,"OFL",0.105360515657826,0.1,0.052
"NPFMC","Groundfish",0.53,1.06,"OFL",0.105360515657826,0.1,0.053
"NPFMC","Groundfish",0.54,1.08,"OFL",0.105360515657826,0.1,0.054
"NPFMC","Groundfish",0.55,1.1,"OFL",0.105360515657826,0.1,0.055
"NPFMC","Groundfish",0.56,1.12,"OFL",0.105360515657826,0.1,0.056
"NPFMC","Groundfish",0.57,1.14,"OFL",0.105360515657826,0.1,0.057
"NPFMC","Groundfish",0.58,1.16,"OFL",0.105360515657826,0.1,0.058
"NPFMC","Groundfish",0.59,1.18,"OFL",0.105360515657826,0.1,0.059
"NPFMC","Groundfish",0.6,1.2,"OFL",0.105360515657826,0.1,0.06
"NPFMC","Groundfish",0.61,1.22,"OFL",0.105360515657826,0.1,0.061
"NPFMC","Groundfish",0.62,1.24,"OFL",0.105360515657826,0.1,0.062
"NPFMC","Groundfish",0.63,1.26,"OFL",0.105360515657826,0.1,0.063
"NPFMC","Groundfish",0.64,1.28,"OFL",0.105360515657826,0.1,0.064
"NPFMC","Groundfish",0.65,1.3,"OFL",0.105360515657826,0.1,0.065
"NPFMC","Groundfish",0.66,1.32,"OFL",0.105360515657826,0.1,0.066
"NPFMC","Groundfish",0.67,1.34,"OFL",0.105360515657826,0.1,0.067
"NPFMC","Groundfish",0.68,1.36,"OFL",0.105360515657826,0.1,0.068
"NPFMC","Groundfish",0.69,1.38,"OFL",0.105360515657826,0.1,0.069
"NPFMC","Groundfish",0.7,1.4,"OFL",0.105360515657826,0.1,0.07
"NPFMC","Groundfish",0.71,1.42,"OFL",0.105360515657826,0.1,0.071
"NPFMC","Groundfish",0.72,1.44,"OFL",0.105360515657826,0.1,0.072
"NPFMC","Groundfish",0.73,1.46,"OFL",0.105360515657826,0.1,0.073
"NPFMC","Groundfish",0.74,1.48,"OFL",0.105360515657826,0.1,0.074
"NPFMC","Groundfish",0.75,1.5,"OFL",0.105360515657826,0.1,0.075
"NPFMC","Groundfish",0.76,1.52,"OFL",0.105360515657826,0.1,0.076
"NPFMC","Groundfish",0.77,1.54,"OFL",0.105360515657826,0.1,0.077
