"fmc","fmp","biomass","bbmsy","value","u","f","catch","escapement"
"PFMC","Salmon (default)",0,0,"OFL",0.5,0.693147180559945,0,0
"PFMC","Salmon (default)",0.01,0.02,"OFL",0.5,0.693147180559945,0.005,0.005
"PFMC","Salmon (default)",0.02,0.04,"OFL",0.5,0.693147180559945,0.01,0.01
"PFMC","Salmon (default)",0.03,0.06,"OFL",0.5,0.693147180559945,0.015,0.015
"PFMC","Salmon (default)",0.04,0.08,"OFL",0.5,0.693147180559945,0.02,0.02
"PFMC","Salmon (default)",0.05,0.1,"OFL",0.5,0.693147180559945,0.025,0.025
"PFMC","Salmon (default)",0.06,0.12,"OFL",0.5,0.693147180559945,0.03,0.03
"PFMC","Salmon (default)",0.07,0.14,"OFL",0.5,0.693147180559945,0.035,0.035
"PFMC","Salmon (default)",0.08,0.16,"OFL",0.5,0.693147180559945,0.04,0.04
"PFMC","Salmon (default)",0.09,0.18,"OFL",0.5,0.693147180559945,0.045,0.045
"PFMC","Salmon (default)",0.1,0.2,"OFL",0.5,0.693147180559945,0.05,0.05
"PFMC","Salmon (default)",0.11,0.22,"OFL",0.5,0.693147180559945,0.055,0.055
"PFMC","Salmon (default)",0.12,0.24,"OFL",0.5,0.693147180559945,0.06,0.06
"PFMC","Salmon (default)",0.13,0.26,"OFL",0.5,0.693147180559945,0.065,0.065
"PFMC","Salmon (default)",0.14,0.28,"OFL",0.5,0.693147180559945,0.07,0.07
"PFMC","Salmon (default)",0.15,0.3,"OFL",0.5,0.693147180559945,0.075,0.075
"PFMC","Salmon (default)",0.16,0.32,"OFL",0.5,0.693147180559945,0.08,0.08
"PFMC","Salmon (default)",0.17,0.34,"OFL",0.5,0.693147180559945,0.085,0.085
"PFMC","Salmon (default)",0.18,0.36,"OFL",0.5,0.693147180559945,0.09,0.09
"PFMC","Salmon (default)",0.19,0.38,"OFL",0.5,0.693147180559945,0.095,0.095
"PFMC","Salmon (default)",0.2,0.4,"OFL",0.5,0.693147180559945,0.1,0.1
"PFMC","Salmon (default)",0.21,0.42,"OFL",0.5,0.693147180559945,0.105,0.105
"PFMC","Salmon (default)",0.22,0.44,"OFL",0.5,0.693147180559945,0.11,0.11
"PFMC","Salmon (default)",0.23,0.46,"OFL",0.5,0.693147180559945,0.115,0.115
"PFMC","Salmon (default)",0.24,0.48,"OFL",0.5,0.693147180559945,0.12,0.12
"PFMC","Salmon (default)",0.25,0.5,"OFL",0.5,0.693147180559945,0.125,0.125
"PFMC","Salmon (default)",0.26,0.52,"OFL",0.5,0.693147180559945,0.13,0.13
"PFMC","Salmon (default)",0.27,0.54,"OFL",0.5,0.693147180559945,0.135,0.135
"PFMC","Salmon (default)",0.28,0.56,"OFL",0.5,0.693147180559945,0.14,0.14
"PFMC","Salmon (default)",0.29,0.58,"OFL",0.5,0.693147180559945,0.145,0.145
"PFMC","Salmon (default)",0.3,0.6,"OFL",0.5,0.693147180559945,0.15,0.15
"PFMC","Salmon (default)",0.31,0.62,"OFL",0.5,0.693147180559945,0.155,0.155
"PFMC","Salmon (default)",0.32,0.64,"OFL",0.5,0.693147180559945,0.16,0.16
"PFMC","Salmon (default)",0.33,0.66,"OFL",0.5,0.693147180559945,0.165,0.165
"PFMC","Salmon (default)",0.34,0.68,"OFL",0.5,0.693147180559945,0.17,0.17
"PFMC","Salmon (default)",0.35,0.7,"OFL",0.5,0.693147180559945,0.175,0.175
"PFMC","Salmon (default)",0.36,0.72,"OFL",0.5,0.693147180559945,0.18,0.18
"PFMC","Salmon (default)",0.37,0.74,"OFL",0.5,0.693147180559945,0.185,0.185
