"council","stock_name","stock_area","comm_name","sci_name"
"CFMC","Caribbean spiny lobster - Puerto Rico","Puerto Rico","Caribbean spiny lobster","Panulirus argus"
"CFMC","Caribbean spiny lobster - St. Croix","St. Croix","Caribbean spiny lobster","Panulirus argus"
"CFMC","Caribbean spiny lobster - St. Thomas / St. John","St. Thomas / St. John","Caribbean spiny lobster","Panulirus argus"
"CFMC","Queen snapper - Caribbean","Caribbean","Queen snapper","Etelis oculatus"
"CFMC","Red hind - Caribbean","Caribbean","Red hind","Epinephelus guttatus"
"CFMC","Redtail parrotfish - Caribbean","Caribbean","Redtail parrotfish","Sparisoma chrysopterum"
"CFMC","Silk snapper - Caribbean","Caribbean","Silk snapper","Lutjanus vivanus"
"CFMC","Caribbean Parrotfishes Complex",NA,NA,NA
"GMFMC","Brown shrimp - Gulf of Mexico","Gulf of Mexico","Brown shrimp","Farfantepenaeus aztecus"
"GMFMC","Gag - Gulf of Mexico","Gulf of Mexico","Gag","Mycteroperca microlepis"
"GMFMC","Goliath grouper - Gulf of Mexico","Gulf of Mexico","Goliath grouper","Epinephelus itajara"
"GMFMC","Gray snapper - Gulf of Mexico","Gulf of Mexico","Gray snapper","Lutjanus griseus"
"GMFMC","Gray triggerfish - Gulf of Mexico","Gulf of Mexico","Gray triggerfish","Balistes capriscus"
"GMFMC","Greater amberjack - Gulf of Mexico","Gulf of Mexico","Greater amberjack","Seriola dumerili"
"GMFMC","Hogfish - Eastern Gulf of Mexico","Eastern Gulf of Mexico","Hogfish","Lachnolaimus maximus"
"GMFMC","Lane snapper - Gulf of Mexico","Gulf of Mexico","Lane snapper","Lutjanus synagris"
"GMFMC","Pink shrimp - Gulf of Mexico","Gulf of Mexico","Pink shrimp","Farfantepenaeus duorarum"
"GMFMC","Red grouper - Gulf of Mexico","Gulf of Mexico","Red grouper","Epinephelus morio"
"GMFMC","Red snapper - Gulf of Mexico","Gulf of Mexico","Red snapper","Lutjanus campechanus"
